dataset_name,image_path,image_type,mask_path,ID_details,question
ACDC,images/mr_00--ACDC--patient002_frame01--x_0009.png,MRI,masks/mr_00--ACDC--patient002_frame01--x_0009--0003_000.png,union_heart_myocardium_heart_ventricle_right,"Segment the regions encompassing the heart, its outer wall, and the right ventricle."
ACDC,images/mr_00--ACDC--patient009_frame01--x_0005.png,MRI,masks/mr_00--ACDC--patient009_frame01--x_0005--0000_000.png,heart_myocardium,Segment the heart muscle.
ACDC,images/mr_00--ACDC--patient009_frame13--x_0000.png,MRI,masks/mr_00--ACDC--patient009_frame13--x_0000--0002_000.png,heart_ventricle_right,Segment the right ventricle of the heart.
ACDC,images/mr_00--ACDC--patient015_frame01--x_0005.png,MRI,masks/mr_00--ACDC--patient015_frame01--x_0005--0000_000.png,heart_myocardium,Segment the heart muscle.
ACDC,images/mr_00--ACDC--patient023_frame01--x_0001.png,MRI,masks/mr_00--ACDC--patient023_frame01--x_0001--0001_000.png,heart_ventricle_left,Segment the left ventricle of the heart in these MRI images.
ACDC,images/mr_00--ACDC--patient032_frame12--x_0003.png,MRI,masks/mr_00--ACDC--patient032_frame12--x_0003--0000_000.png,heart_myocardium,Segment the heart muscle.
ACDC,images/mr_00--ACDC--patient059_frame09--x_0001.png,MRI,masks/mr_00--ACDC--patient059_frame09--x_0001--0002_000.png,heart_ventricle_right,Segment the right ventricle of the heart.
ACDC,images/mr_00--ACDC--patient059_frame09--x_0004.png,MRI,masks/mr_00--ACDC--patient059_frame09--x_0004--0001_000.png,heart_ventricle_left,Segment the left ventricle of the heart in these cardiac MRI images.
ACDC,images/mr_00--ACDC--patient074_frame12--x_0003.png,MRI,masks/mr_00--ACDC--patient074_frame12--x_0003--0003_000.png,union_heart_myocardium_heart_ventricle_right,"Can you segment the heart, including its outer wall and the right ventricle?"
ACDC,images/mr_00--ACDC--patient088_frame12--x_0007.png,MRI,masks/mr_00--ACDC--patient088_frame12--x_0007--0003_000.png,union_heart_myocardium_heart_ventricle_right,"Identify and segment the heart, including the outer wall and both ventricles."
AMOS2022,images/ct_00--AMOS2022--amos_0006--x_0019.png,CT,masks/ct_00--AMOS2022--amos_0006--x_0019--0001_000.png,bladder,Segment the bladder in this CT scan.
AMOS2022,images/ct_00--AMOS2022--amos_0011--x_0050.png,CT,masks/ct_00--AMOS2022--amos_0011--x_0050--0002_000.png,inferior_vena_cava,Segment the inferior vena cava.
